user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.76	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003499545.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA10425;s__UBA10425 sp003499545	74.41	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	96.66	11	0.7605489180003581	N/A
bin.77	d__Bacteria;p__QNDG01;c__QNDG01;o__QNDG01;f__QNDG01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003645915.1	95.0	d__Bacteria;p__QNDG01;c__QNDG01;o__QNDG01;f__QNDG01;g__QNDG01;s__QNDG01 sp003645915	75.15	0.02	d__Bacteria;p__QNDG01;c__QNDG01;o__QNDG01;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	66.01	11	0.7141020154097986	N/A
bin.78	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__YB12-FULL-65-16;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001803235.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__YB12-FULL-65-16;g__YB12-FULL-65-16;s__YB12-FULL-65-16 sp001803235	75.18	0.02	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	86.04	11	0.7034403644895808	N/A
bin.79	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA12170;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	83.5	11	0.810503420125364	N/A
bin.8	d__Bacteria;p__OLB16;c__;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	91.64	11	0.3840850489042437	N/A
bin.80	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	81.36	11	0.840451902641348	N/A
bin.81	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	91.98	11	0.7489078296931563	N/A
bin.82	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__JAABTT01;s__	N/A	N/A	N/A	N/A	N/A	GCA_011389765.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__JAABTT01;s__JAABTT01 sp011389765	83.6	0.64	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	78.76	11	0.9631445015451261	N/A
bin.83	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	94.4	11	0.8783050360573621	N/A
bin.84	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	97.36	11	0.8644755918415614	N/A
bin.85	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	69.05	11	0.8962460456069977	N/A
bin.86	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	82.75	11	0.542229966283246	N/A
bin.87	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	80.74	11	0.8825593581753993	N/A
bin.88	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Halorhodospiraceae;g__Halorhodospira;s__	N/A	N/A	N/A	N/A	N/A	GCF_002356555.2	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Halorhodospiraceae;g__Halorhodospira;s__Halorhodospira halochloris	76.94	0.14	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Halorhodospiraceae;g__Halorhodospira;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000015585.1, s__Halorhodospira halophila, 95.0, 81.28, 0.64; GCA_003552345.1, s__Halorhodospira sp003552345, 95.0, 81.23, 0.6; GCA_003552625.1, s__Halorhodospira sp003552625, 95.0, 79.75, 0.44	97.86	11	0.9156799129264818	N/A
bin.89	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11858;g__B10-G9;s__	N/A	N/A	N/A	N/A	N/A	GCA_011039385.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11858;g__B10-G9;s__B10-G9 sp011039385	76.4	0.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11858;g__B10-G9;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003648195.1, s__B10-G9 sp003648195, 95.0, 75.82, 0.01	92.08	11	0.9388802724308563	N/A
bin.9	d__Bacteria;p__Caldatribacteriota;c__JS1;o__SB-45;f__UBA6794;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Caldatribacteriota;c__JS1;o__SB-45;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	79.43	11	0.7684731279171834	N/A
bin.90	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__GCA-2699585;s__	N/A	N/A	N/A	N/A	N/A	GCA_002699585.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__GCA-2699585;s__GCA-2699585 sp002699585	75.52	0.05	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__SBR1031;f__A4b;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	71.43	11	0.8860752964026052	N/A
bin.92	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfotignum;s__	N/A	N/A	N/A	N/A	N/A	GCA_011390695.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfotignum;s__Desulfotignum sp011390695	90.05	0.64	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfotignum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_011389575.1, s__Desulfotignum sp011389575, 95.0, 90.87, 0.76; GCA_011390235.1, s__Desulfotignum sp011390235, 95.0, 89.85, 0.67; GCA_011390335.1, s__Desulfotignum sp011390335, 95.0, 87.52, 0.83; GCA_011390615.1, s__Desulfotignum sp011390615, 95.0, 87.17, 0.71; GCA_011389715.1, s__Desulfotignum sp011389715, 95.0, 86.43, 0.57; GCA_011390635.1, s__Desulfotignum sp011390635, 95.0, 84.12, 0.8; GCA_011389555.1, s__Desulfotignum sp011389555, 95.0, 81.07, 0.53; GCF_000421285.1, s__Desulfotignum balticum, 96.875, 80.45, 0.58; GCF_000350545.1, s__Desulfotignum phosphitoxidans, 96.875, 80.34, 0.58; GCA_011389835.1, s__Desulfotignum sp011389835, 95.0, 80.19, 0.53	82.21	11	0.9928207990065401	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.93	d__Bacteria;p__Sumerlaeota;c__Sumerlaeia;o__SLMS01;f__SLMS01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Sumerlaeota;c__Sumerlaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	74.07	11	0.794324224251864	N/A
bin.94	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA8987;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003531345.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA8987;g__UBA8987;s__UBA8987 sp003531345	75.95	0.04	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	96.01	11	0.8340529290292974	N/A
bin.95	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Longimonas;s__	N/A	N/A	N/A	N/A	N/A	GCF_002554705.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Longimonas;s__Longimonas halophila	89.11	0.79	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	75.52	11	0.9945911215441077	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.96	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__Cryomorpha;s__	N/A	N/A	N/A	N/A	N/A	GCF_010686655.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__Cryomorpha;s__Cryomorpha ignava	76.0	0.03	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	94.8	11	0.8954961383313157	N/A
bin.97	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	62.4	11	0.7884913719209417	N/A
bin.98	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	89.14	11	0.8144139578340617	N/A
